date,company,sector,role,role_type,channel,status,contact_person,fit_rating,notes,cv_file,cover_letter_file,source
2026-09-02,LawConnect,Legaltech,Product Manager - Growth,Product Manager,LinkedIn,application_viewed,,,"LinkedIn confirmation on 2026-09-02: application sent to LawConnect; LinkedIn update on 2026-09-03: application viewed.",,,
2026-09-02,Citi,Financial Services,"Product Manager - Fund Accounting and Administration, Data and reporting, VP - Sydney / Melbourne-26970747",Product Manager,Workday,rejected,,,"Email from Citi HR on 2026-09-02: application not moving forward for this particular role.",,,
2026-09-02,Mercer,Consulting / Financial services,Senior Digital Product Manager (R_360395),Senior Product Manager,Workday,rejected_role_filled,,,"Email from Mercer Workday on 2026-09-02: requisition has been filled.",,,
2026-09-02,Databricks,Data / AI,Deployment Strategist,Deployment / Strategy,Greenhouse,rejected,,,"Email from Databricks on 2026-09-01/02: application not moving forward for Deployment Strategist.",,,
2026-09-01,CBRE,Property / Data & AI,Data & AI Product Manager,Product Manager,Direct recruiter,interview,Tracy Timbs,,"Recruiter email on 2026-09-01 disclosed initial 12-month contract and user replied interested. Interview confirmed for 2026-09-03 11:00-12:00 AEST with JD attached. Follow-up sent to Tracy on 2026-09-07 after interview with Isaac and Faruk to ask for feedback and next steps.",,,
2026-09-01,Dabble,Wagering / Product & Technology,Technical Product Manager,Technical Product Manager,Teamtailor,interview,Cooper Rule,,"Application receipt on 2026-08-28; meeting invite on 2026-09-01 for next steps; calendar invite for 2026-09-02 10:30-11:00 AEST. Email from Cooper on 2026-09-07: progressing to virtual interview with Anthony, Head of Product - Core, and Kate, Head of Engineering; user replied that Thursday 13:00-14:00 works.",cv/main_dabble.pdf,cover_letters/cover_dabble_technical_product_manager.pdf,
2026-09-01,Stripe,Payments,Technical Account Manager,Technical Account Manager,Greenhouse,rejected,,,"Email from Stripe on 2026-09-01: application not moving forward; going in a direction that better fits needs.",,,
2026-08-28,Mirvac,Property / Data,Product Manager - Data Solutions,Product Manager,Company careers,rejected,,,"Email from Mirvac on 2026-08-28: application reviewed and not progressed.",,,
2026-08-28,Cotality,Property data / Analytics,Technical Product Manager (REQ18903),Technical Product Manager,Workday,rejected,,,"Email from Cotality Workday on 2026-08-27/28: company chose to pursue other candidates.",,,
2026-08-27,Xero,Accounting software / Fintech,Senior Product Manager - Mobile,Senior Product Manager,Ashby,applied_active,,90,"User confirmed application submitted on 2026-08-27. Tailored CV and cover letter completed after recruiter/ATS pass. Strengths: mobile product strategy, AI/automation, accounting and finance workflow exposure via Cogentiq I2C, customer research, OKRs, experimentation, cross-functional delivery. Submitted with updated Xero CV.",cv/main_xero.pdf,cover_letters/cover_xero_senior_product_manager_mobile.pdf,https://jobs.ashbyhq.com/xero/c95e2b33-e214-4d47-bdfb-cfa9e39c1fa9
2026-08-27,Woolworths Group,Retail / Analytics,Snr Manager Analytics Transformation,Senior Manager,Company careers,applied_active,,,"Email confirmation from Woolworths Group on 2026-08-27: application complete and received by Talent team.",cv/main_woolworths.pdf,cover_letters/cover_woolworths_senior_manager_analytics_transformation.pdf,
2026-08-27,Clear21,Technology / Product,Senior Product Manager,Senior Product Manager,LinkedIn,applied_active,,,"LinkedIn confirmation on 2026-08-27: application sent for Senior Product Manager at Clear21.",,,
2026-08-27,IAG,Insurance / AI,Agentic Discovery Analyst (50412),Product / AI role,Company careers,rejected,,,"Email from IAG on 2026-08-27: outcome of job application for Agentic Discovery Analyst; not progressed.",,,
2026-08-27,Transport for NSW,Government / Transport,Senior Technology Advisor (107016),Technology Advisor,SuccessFactors,rejected,,,"Email from Transport Careers on 2026-08-27: application assessed against role requirements and not progressed.",,,
2026-08-27,CommBank,Banking / Business Banking,Senior Product Manager - Bank Guarantees (REQ263999),Senior Product Manager,Workday,applied_active,,89,"Email confirmation from CBA HR on 2026-08-27: application received and review pending. Tailored artefacts created after recruiter/ATS pass.",cv/main_commbank.pdf,cover_letters/cover_commbank_senior_product_manager.pdf,https://cba.wd3.myworkdayjobs.com/CommBank_Careers/job/Sydney-CBD-Area/Senior-Product-Manager_REQ263999
2026-08-27,Google,Technology,Role not specified in confirmation,Unknown,Google Careers,applied_active,,,"Two Google confirmation emails found on 2026-08-27; neither included the role title. Recruiting will contact if skills and experience match.",,,
2026-08-27,Telstra Health,Healthtech / Reporting & Insights,Product Manager - Reporting & Insights,Product Manager,Oracle Cloud,rejected,,,"Identity confirmation email found on 2026-08-27. Rejection email from Telstra Health on 2026-08-29: application reviewed and not progressed.",cv/main_telstra_health.pdf,cover_letters/cover_telstra_health_product_manager_reporting_insights.pdf,
2026-08-29,Full Circle Social Enterprises,Social enterprise / Product,Product Manager (Pro Bono),Product Manager,Direct email,interview,Tina Brunet,,"Email from Tina Brunet on 2026-08-29: thanked user for submitting interest in the Full Circle Product Manager pro bono position and asked to speak further over Zoom.",,,
2026-08-26,CommBank,Banking,Senior Product Manager (REQ264023),Senior Product Manager,Workday,applied_active,,,"Email confirmation from CBA HR on 2026-08-26: application received and review pending.",,,
2026-08-26,Aphex,Construction tech / SaaS,Senior Product Manager,Senior Product Manager,Ashby,applied_active,,,"Email confirmation from Aphex Hiring Team on 2026-08-26: application received; they will review and respond if there are next steps.",,,
2026-08-26,Stake,Fintech / Investing,Lead Product Manager,Lead Product Manager,Breezy,rejected,,,"Email from Stake on 2026-08-26: application not progressing after review.",,,
2026-08-26,Australian Military Bank,Banking,Product Manager,Product Manager,LiveHire,rejected,,,"Application submitted email found on 2026-08-25; rejection notification received 2026-08-26.",,,
2026-08-26,Uber,Marketplace / Merchant Tech,APAC Merchant Tech Lead (Ordering Modality),Product Lead,Uber Careers,rejected,,,"Email from Uber on 2026-08-26: application reviewed and not a match for this role.",,,
2026-08-26,Asseti,Asset intelligence / B2B SaaS,Product Manager,Product Manager,LinkedIn / Workable,applied_active,,80,"Email confirmation from Workable on 2026-08-26: application submitted successfully. Strengths: AI-first B2B product, data-to-decision products, technical product execution. Gap: facilities/property ops and geospatial asset domain.",cv/main_asseti.pdf,cover_letters/cover_asseti_product_manager.pdf,https://www.linkedin.com/jobs/view/4459076993/
2026-08-26,Everlab,Healthtech / Growth & Payments,Senior Product Manager - Growth & Payments,Senior Product Manager,Teamtailor,rejected,,82,"Email confirmation from Everlab on 2026-08-26: application received. Rejection email from Mitch King on 2026-08-29: not shortlisted for interview; progressed candidates with more similar startup/scale-up technical PM experience. Strengths: pricing, billing automation, experimentation, healthcare AI and technical product execution. Gap: deep Stripe/payments infrastructure specifics.",cv/main_everlab.pdf,cover_letters/cover_everlab_senior_product_manager_growth_payments.pdf,https://careers.everlab.com.au/jobs/8269393-senior-product-manager-growth-payments
2026-08-26,Decagon,AI / Enterprise SaaS,Senior Agent Product Manager,Senior Product Manager,LinkedIn / Ashby,applied_active,,89,"Applied on 2026-08-26 with tailored CV. No matching confirmation email found in current scan. Gaps to discuss if progressed: in-office setup and sales/customer success flavour.",cv/main_decagon.pdf,cover_letters/cover_decagon_senior_agent_product_manager.pdf,https://au.linkedin.com/jobs/view/senior-agent-product-manager-at-decagon-4434567824
2026-08-25,Nuix,AI / Legaltech,Senior Product Manager - AI,Senior Product Manager,Teamtailor,rejected,,,"Email confirmation from Nuix on 2026-08-25 and under-review update on 2026-08-27. Rejection email from Nuix on 2026-09-01: not moving forward in the selection process.",cv/main_nuix.pdf,cover_letters/cover_nuix_senior_product_manager_ai.pdf,
2026-08-25,Mantel,Consulting / Digital,Principal Consultant - Data and AI; Lead Consultant - AI Transformation,Consulting / Transformation,Teamtailor,rejected,,,"Two Mantel application receipt emails found on 2026-08-25. Rejection emails received for Principal Consultant - Data and AI on 2026-08-27 and Lead Consultant (AI Transformation) on 2026-08-31.",,,
2026-08-25,Citi,Financial Services,"Product Manager, Platforms and Data Services - Vice President - SYDNEY-26987804",Product Manager,Workday,applied_active,,,"Email confirmation from Citi HR on 2026-08-25: application received and under consideration.",,,
2026-08-25,Omega HPC AI,AI / Sovereign Compute,Technical Product Manager - Sovereign Compute,Technical Product Manager,SEEK,applied_active,,,"SEEK email on 2026-08-25: application successfully submitted; verify key information to help it stand out.",,,
2026-08-25,Deputy,Workforce management SaaS,Deputy product interview,Product Manager,Direct recruiter,rejected_after_interview,Chris Ford,,"Recruiter feedback thread on 2026-08-25: interview completed; team enjoyed the conversation but application did not progress.",,,
2026-08-25,UST,IT services / Consulting,Senior Product Manager,Senior Product Manager,UST Careers,applied_active,,,"Email confirmation on 2026-08-25: application confirmed for Senior Product Manager; application ID RH6573422.",,,
2026-08-24,CommBank / x15ventures,Venture / AI,Senior Product Owner - AI Venturing - x15ventures (REQ264092),Senior Product Owner,Workday,applied_active,,,"Email confirmation from CBA HR on 2026-08-24: application received and review pending.",,,
2026-08-24,Amazon,Ecommerce / CX,Product/Program Manager - Returns Customer Experience CX (ID: 10501220),Product / Program Manager,Amazon Jobs,assessment_completed,Constanza Romero,,"Moved forward to Amazon Online Assessment on 2026-09-04. Recruiter Constanza Romero confirmed the assessment should be completed over the weekend. Assessment is standard for all roles, 60-70 minutes total: Amazon Simulation / Work Simulation and Work Styles questionnaire. Email from Amazon Jobs on 2026-09-05 confirmed the online assessment was successfully submitted.",,,
2026-08-24,Zip Co,Fintech / Payments,Senior Product Manager - Agentic Commerce,Senior Product Manager,LinkedIn / Zip Careers,rejected,,,"LinkedIn application/viewed emails found; rejection from Zip received 2026-08-24 stating the application would not move forward.",,,
2026-08-24,Douglas Partners,Engineering consulting,Digital Delivery Manager,Delivery Manager,SEEK,applied_active,,,"SEEK email on 2026-08-24: application successfully submitted.",,,
2026-08-24,Sitemate,Construction tech,Product Owner/Design Manager,Product Owner / Design Manager,Ashby,rejected,,,"Email from Sitemate on 2026-08-24: application not progressing.",,,
2026-08-22,Agoda,Travel tech,Technical Product Manager - LLM/ML Domain,Technical Product Manager,Agoda Careers,rejected,,,"Email confirmation from Agoda on 2026-08-22: application received. Rejection email on 2026-09-03: unable to move forward with candidacy after review.",,,
2026-08-22,Nine,Media / Data,Data Product Manager - Commercial Growth,Data Product Manager,Workday,rejected,,,"Email from Nine on 2026-08-22: application reviewed; proceeding with other applicants.",,,
2026-08-21,Checkbox Technology,Legaltech / AI,Senior Tech Product Manager,Senior Product Manager,Direct recruiter,interview,Max Nash,,"Interview request from Checkbox Technology on 2026-08-21; user replied with availability.",,,
2026-08-21,325 Consulting,Consulting,Strategy and Transformation Lead,Strategy / Transformation Lead,LinkedIn,applied_active,,,"LinkedIn confirmation email on 2026-08-21: application submitted.",,,
2026-08-18,Spacetalk,Family technology / SaaS,Product Manager Contract Role,Product Manager / Contract,Direct executive outreach,interview,Craig Boshier,,"Email thread with Craig Boshier on 2026-08-18: short-notice intro call arranged for 17:00 Sydney with Craig and Simon Crowther; user joined the call and sent a follow-up on 2026-08-20.",,,
2026-08-11,BJAK,Insurance / Fintech,Technical Product Manager,Technical Product Manager,Direct recruiter / Ashby,rejected_after_assessment,"Ain Syazwani; recruitment@bjak.my",,"Recruiter email on 2026-08-11: shortlisted for Technical Product Manager interview. Interview scheduled for 2026-09-01 17:00 Sydney, then cancelled on 2026-08-27 after assessment review and current hiring requirements.",,,
